wallet,win_rate,token_diversity,avg_hold_days
0x49ff149d649769033d43783e7456f626862cd160,1,7,0.14285714285714285
0x51a80238b5738725128d3a3e06ab41c1d4c05c74,1,8,80.625
0x82c3da62b7db06e93c67ba90330ccedeef725a63,1,40,0
0x297feab2b12c8b53883ccb616ba67e4454cec4e7,1,7,0
0x0acc0fee1d86d2cd5af372615bf59b298d50cd69,1,10,6
0x4dc3a03a49807ae6f383163c2a5b276ff42fa217,1,13,0.38461538461538464
0x02e7ac540409d32c90bfb51114003a9e1ff0249c,1,11,100
0x86c077092018077df34ff44d5d7d3f9a2df03bef,1,17,105.94117647058825
0x119b8399c8401b5a95ca88a18605b664f66d8208,1,7,211.42857142857144
0x33e18a092a93ff21ad04746c7da12e35d34dc7c4,1,8,145
0xf49d4ecc334680a7034a9166d33d138202fe2dc9,1,9,0
0xe5feeac09d36b18b3fa757e5cf3f8da6b8e27f4c,1,10,479
0xefc996ce8341cd36c55412b51df5bbca429a7617,1,8,239
0x0601f64b7ea089767d2fc6777a109a3372bf0742,1,8,164
0xcc5460cf8f81caa790b87910364e67ddb50e242b,1,7,51.857142857142861
0xff35d339ee07acde54c135fbee39765010620d33,1,5,23.8
0x671ed24240564370973f544fecf05143804fa0b8,1,6,5
0x4b1aac216edb0eb48f735c27a31453ff977468fc,1,5,168
0xcf4abc8d219a594c8e71e07ab6d9d010fd0ef629,1,5,64
0x7923f036635d58ae20a709365d7c3f075939888d,1,6,620.33333333333337
0xc3d6f5c16f1dbfc9017854b1c0e025d51b22954b,1,6,65.833333333333329
0xb0aa06f615fecfaa4d8cc16c16adaf04ce755715,1,6,573
0x131d30d34704572f113e4ecbd14f9bb3f764ecff,1,7,13.857142857142856
0xc538ea32ab33d0db30a9f0d9d885fdaabf6bcd6a,1,5,268
0x1374c533625441db82bf5aff5c35ba52392f0257,1,5,311
0xba015b87009e5f7eb876f5322bb45786acedf4c2,1,5,61.2
0x561fe476dcec7f0db6e2eb3492a78cb80ffffacd,1,6,18.166666666666668
0x60f233fea623d7c82a51dc18efab80b5e5b9d51f,1,6,523.16666666666663
0xb0d502e938ed5f4df2e681fe6e419ff29631d62b,1,5,5.4
0xecdb63c30d46e8c86bf1292fa7d4519535b161c3,1,6,52.833333333333336
0x0b65f086631c7df3c27ba38fe670cb23a39cc48c,1,6,75.333333333333343
0x94743cfaa3fdc62e9693572314b5ee377eba5d11,1,6,100
0x5d6ac99835b0dd42ed9ffc606170e59f75a88fde,1,5,112
0xefba49a0bff880d92ff29c3100bf6bdd7d6570f1,1,5,193.8
0x3be35331d149de334145818241bb14bbf14d3827,1,6,47.833333333333329
0x701c632c771d8187eeef9736f007ae31c23961d0,1,5,51.400000000000006
0x5df8d99237762ac2be27de22d7e83eef6af297d3,1,6,46
0x9f13d22d7854db6388f44e6d4d468eef44deaf12,1,6,62.666666666666664
0xb482c13e62f7fb6cb9a839307513b72556aea3b9,1,6,5.166666666666667
0x3a27dd7008dc7f0903193388c3f613c9064c8ca0,1,5,23.000000000000004
0x13a3bf269c286cfca674f97fcd499e60d3493364,1,3,117
0x42f5fa760f1fe4b808fa240f770f441db5f0e7dd,1,3,2
0x54b276c8a484ebf2a244d933af5ffaf595ea58c5,1,3,4.333333333333333
0xc0a5592e463e689b6504960e30783494e3b7ea39,1,3,71.333333333333329
0xfe100002308f075278b2be8a2dc03f5bc100f044,1,3,65.333333333333329
0x5d1fb8d76123664ffe0091655ead71c227814908,1,3,49
0xa7ee55bd163b6f29afca1af2bb79096641be0dcb,1,3,258
0x9db9895abebb26a77524f04edb40b8e2f5893fac,1,3,6.3333333333333339
0x342837a71fa2ef6e7cb0e9fe13dc423d30077ba5,1,3,7.6666666666666661
0x3796dbcc65f151cd66df73588539a4a7900db0e6,1,3,24.333333333333332
0x16f46012db0f308373fa783a9f52655152d01594,1,3,12
0x67125571ca772b0e8afb782c701708555adc4762,1,3,91.666666666666657
0x147602b692f5dca60bd31904f0ac58b984a95866,1,3,399.66666666666663
0xc2d019b901f8d4fdb2b9a65b5d226ad88c66ee8d,1,3,49.666666666666671
0x7fe011192a2abe549fcaaf790b2998fb464a9ccc,1,3,6.666666666666667
0x8ea198b47a3abd30a10c0df4ccd7036cf96cc4e2,1,3,209
0x1fd7b0260f25d50aa5ff99549128c1ba331e4a6b,1,3,75.333333333333329
0xd395ef3ee22e6b76cbb393e4e9330e4abd52af7d,1,3,127
0x9cc2c549303a62faa1c3a7e22d92937e13d994a5,1,3,0
0xa4f613a5b6cbecd77a1f3fb83dede53087c554f7,1,3,0
0xe15bc0751482b0377abbdefc26c78fa9e8b3f2dc,1,3,44
0xd01eb65ee15aa5feb110539b5125436660f52238,1,3,84.666666666666671
